,Name,Brand,Price,Star_Ratings,Dial_Shape,Strap_Color,Model,Battery_Life,Call_Function,Bluetooth_Version,Display_Resolution,Display_Size,Weight,Battery_Type,Operating_System,Internal_Memory,GPS,No_of_Ratings,No_of_Reviews
244,"Boult Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2 Smartwatch",Boult,1099,4.1,Rectangle,White,"Drift+ Bluetooth Calling, 1.85"" HD, 500Nits Brightness, 150+ Watchfaces, SpO2",7,Yes,5.0,240 x 280,46.99,42,Lithium Ion,iOS 9 and Above | Android 6 and Above,32 GB,No,183350,14403
247,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,40,Lithium Polymer,iOS 9 and Above | Android 6 and Above,32 GB,No,43772,4441
248,"boAt Storm Call 2 1.83'' HD Display,BT Calling,boAt Coins & DIY Watch Face Studio Smartwatch",boAt,1529,4.1,Rectangle,Cream,"Storm Call 2 1.83'' HD Display,BT Calling,boAt Coins & DIY Watch Face Studio",7,Yes,5.0,240 x 284,46.4,40,Lithium Ion,iOS 9 and Above | Android 6 and Above,32 GB,No,337863,21308
250,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android & iOS,32 GB,No,220415,34430
257,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Silver,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and Above,32 GB,No,220415,34430
260,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Blue,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and Above,32 GB,No,220415,34430
261,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Gold,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and Above,32 GB,No,220415,34430
264,boAt Storm call 1.69 inch HD display with Bluetooth Calling & 550 Nits Brightness Smartwatch,boAt,1799,4.1,Rectangle,Cream,Storm call 1.69 inch HD display with Bluetooth Calling & 550 Nits Brightness,7,Yes,5.0,240 x 280,41.91,40,Lithium Ion,Android 6.0 & iOS 12.0 and Above,32 GB,No,337863,21308
266,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1499,4.2,Square,Green,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,No OS,32 GB,No,220415,34430
267,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Pink,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,No OS,32 GB,No,220415,34430
270,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, Complete Health Monitoring",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,watchOS 8,32 GB,No,183350,14403
271,"Boult Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67 Smartwatch",Boult,1099,4.1,Rectangle,Black,"Drift BT Calling 1.69"" HD Display, 140+ Watchfaces, 475Nits Brightness, IP67",7,Yes,5.0,240 x 280,42.93,45,Lithium Polymer,watchOS 8,32 GB,No,183350,14403
273,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant Smartwatch",Noise,1399,4.1,Rectangle,Black,"Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant",7,Yes,5.0,240 x 296,48.51,32,Lithium Ion,watchOS 8,32 GB,Yes,412996,27254
281,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Orange,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,60,Lithium Polymer,Android & iOS,1 GB,No,43772,4441
287,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,54,Lithium Polymer,Andoid and IOS,1 GB,No,43772,4441
290,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Andoid and IOS,1 GB,No,220415,34430
297,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1499,4.2,Square,Green,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Andoid and IOS,1 GB,No,220415,34430
300,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Silver,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 5.0 and above / iOS 10.0 and above,1 GB,No,220415,34430
301,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Blue,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 5.0 and above / iOS 10.0 and above,1 GB,No,220415,34430
303,DIZO Watch 2 Sports (by realme TechLife),DI,1499,4.1,Square,Black,"Watch 2 sports (by realme techlife) 1.69"" Bright screen with 110+ sports modes",10,No,5.0,240 x 280,42.93,41.5,Lithium Ion,Android 5.0 and above / iOS 10.0 and above,1 GB,No,72991,8018
